id,w,division,type
00786,17310.74,5,1
00787,10215.14,5,2
00788,6623.87,4,5
00789,5862.86,1,2
00790,14533.04,5,2
00791,16371.42,5,2
00792,6822.46,10,4
00793,8338.14,2,2
00794,17230.63,3,2
00795,7827.84,7,2
00796,6313.81,4,1
00797,8393.98,10,2
00798,8366.25,5,2
00799,7727.97,10,5
00800,12661.58,5,2
00801,3465.29,4,2
00802,7634.59,7,5
00803,7962.72,3,2
00804,13394.78,10,2
00805,4232.49,4,2
00806,16772.54,5,2
00807,6858.53,10,2
00808,14727.35,3,2
00809,4286.3,1,2
00810,4702.48,4,2
00811,6691.67,10,3
00812,5325.57,10,5
00813,7553.73,2,4
00814,3409.68,4,2
00815,8237.07,10,2
00816,6206.52,10,2
00817,6763.24,5,2
00818,6763.24,5,2
00819,15966.07,5,2
00820,4109.17,4,3
00821,17888.36,3,2
00822,8542.98,7,2
00823,5600.99,8,2
00824,4311.35,1,5
00825,7169.31,10,2
00826,9102.5,5,1
00827,8646.42,5,2
00828,7208.1,5,5
00829,10457.04,7,5
00830,10512.33,10,2
00831,5086.3,5,3
00832,2673.74,4,2
00833,2742.57,4,2
00834,18391.5,3,5
00835,14774.72,6,5
00836,6285.54,4,2
00837,8067.49,1,5
00838,25544.32,2,2
00839,6297.04,5,2
00840,6912.44,2,2
00841,2896.88,2,2
00842,15213.44,7,5
00843,4697.21,4,2
00844,2778.26,4,2
00845,17230.63,3,2
00846,10775.73,9,5
00847,11535.95,10,2
00848,13109.09,5,2
00849,14249.9,8,5
00850,17552.96,2,2
00851,6139.28,4,2
00852,14249.48,7,2
00853,5385.31,1,2
00854,9246.65,5,5
00855,14727.35,3,2
00856,2778.26,4,2
00857,7420.94,1,4
00858,4995.02,4,2
00859,10574.12,3,4
00860,13331.55,7,2
00861,9657.7,6,3
00862,8159.84,2,2
00863,7562.5,10,2
00864,6506.7,5,2
00865,18088.17,2,5
00866,10512.27,3,5
00867,10344.9,9,2
00868,4132.61,1,2
00869,35517.02,8,2
00870,6443.75,5,5
00871,6344.82,5,4
00872,5865.93,8,5
00873,2599.86,4,2
00874,14264.79,5,5
00875,11028.65,10,1
00876,6861.29,5,2
00877,20073.84,9,2
00878,8962.1,5,2
00879,8845.62,1,1
00880,6506.7,5,2
00881,6373.55,1,2
00882,7232.63,2,2
00883,6590.83,5,5
00884,12046.39,3,2
00885,10689.56,5,1
00886,12379.5,6,2
00887,6139.28,4,2
00888,6396.68,10,3
00889,7818.45,7,5
00890,6166.41,1,1
00891,6861.29,5,2
00892,5756.09,4,2
00893,9008.73,10,5
00894,11737.12,7,3
00895,7208.1,5,5
00896,12469.42,6,2
00897,9986.67,6,2
00898,6798.75,10,2
00899,16371.42,5,2
00900,12876.28,5,2
00901,11330.02,8,2
00902,10669.31,7,2
00903,3286.37,4,2
00904,5562.51,4,2
00905,3049.41,1,3
00906,7204.59,5,2
00907,13085.76,5,4
00908,6873.74,5,2
00909,14797.17,3,2
00910,13494.44,5,2
00911,10981.38,6,2
00912,7518.43,7,5
00913,5932.15,5,3
00914,11362.76,6,2
00915,8338.14,2,2
00916,5053.24,4,2
00917,10643.58,6,2
00918,7707.69,5,2
00919,6466.42,10,2
00920,8122.52,10,5
00921,6139.28,4,2
00922,6466.42,10,2
00923,7169.31,10,2
00924,8089.88,10,2
00925,6936.83,10,2
00926,6443.75,5,5
00927,9539.46,9,2
00928,19561.46,3,3
00929,6297.04,5,2
00930,7564.85,2,5
00931,7955.39,2,2
00932,6861.29,5,2
00933,12114.62,7,4
00934,9516.48,9,2
00935,11655,10,2
00936,10576.37,9,2
00937,10842.33,10,2
00938,4065.83,1,5
00939,7343.83,2,3
00940,7604.88,7,2
00941,10368.71,3,5
00942,4280.23,4,2
00943,7577.54,7,2
00944,6004.19,5,2
00945,4232.49,4,2
00946,6590.83,5,5
00947,8465.26,3,2
00948,15804.71,2,2
00949,6900.46,10,5
00950,11508.38,6,2
00951,3456.51,10,4
00952,2778.26,4,2
00953,8122.52,10,5
00954,7133.12,7,2
00955,10845.2,3,2
00956,7562.5,10,2
00957,9412.64,5,3
00958,7489.17,7,2
00959,7537.76,10,2
00960,7229.75,2,2
00961,7562.5,10,2
00962,6663.8,2,5
00963,14615.7,3,2
00964,6054.97,5,2
00965,11875.71,3,1
00966,5177.54,8,2
00967,6767.42,10,2
00968,4751.97,4,2
00969,7364.81,2,2
00970,4751.97,4,2
00971,9806.54,5,3
00972,8802.19,10,2
00973,7269.59,9,3
00974,5477.42,1,2
00975,9323.8,4,2
00976,6557.74,5,2
00977,10250.94,6,2
00978,6919.42,1,2
00979,6913.44,10,4
00980,9308.55,5,2
00981,15623.27,2,2
00982,30067.83,7,2
00983,7169.31,10,2
00984,15356.89,10,2
00985,12100.53,3,2
00986,5177.54,8,2
00987,7707.69,5,2
00988,7049.08,4,2
00989,5565.54,8,5
00990,7169.31,10,2
00991,7313.35,10,2
00992,6644.69,5,2
00993,8668.48,10,5
00994,5878.4,5,2
00995,15966.07,5,2
00996,8862.19,7,5
00997,12661.58,5,2
00998,6466.42,10,2
00999,10270.16,10,2
01000,15353.54,8,1
01001,17477.32,7,1
01002,9673.87,5,2
01003,16317.68,5,1
